OD,oLon,oLat,dLon,dLat,busDis,busTime,busWalkTime,busWalkDis,busWaitTime,busBoardTime,busBoardDis,busTransNum,taxiCost,busCost,driveTime,driveDis
1001401488099960-3003401576100020,113.94865920016564,22.533862145734602,114.05523730515785,22.60466856755935,17081.0,5337.0,968.0,2262.0,1.0,4368.0,21789.0,0,46.1944,3.0,2804,19456
1001401488099960-3003401462099958,113.94865920016564,22.533862145734602,113.91833805287285,22.532155759344416,2998.0,2807.0,370.0,864.0,0.0,2437.0,6467.0,0,12.3952,2.0,1046,5786
1001401486099960-1001401456099954,113.9462314708742,22.533816054785625,113.90996693805886,22.52635472245889,4133.0,2683.0,1086.0,2536.0,0.0,1597.0,3736.0,0,15.1192,2.5,1092,5593
1001401488099960-1001401462099966,113.94865920016564,22.533862145734602,113.91694886481079,22.540025738100127,3578.0,2430.0,790.0,1846.0,1.0,1639.0,3550.0,0,13.7872,2.5,891,5193
1001401488099960-3003401498099982,113.94865920016564,22.533862145734602,113.96144351367164,22.56005092147699,3834.0,3187.0,1385.0,3234.0,1.0,1801.0,3864.0,0,14.4016,1.0,1082,6458
1001401486099960-1001401490100002,113.9462314708742,22.533816054785625,113.95004485786508,22.581268938770545,5145.0,2559.0,283.0,662.0,0.0,2276.0,6786.0,0,17.548,2.0,1250,7178
1001401488099960-1001401538099964,113.94865920016564,22.533862145734602,114.0092572339788,22.53951334813896,6218.0,4071.0,974.0,2274.0,0.0,3097.0,12976.0,0,20.1232,2.0,1321,7720
1001401488099960-1001401502100006,113.94865920016564,22.533862145734602,113.96451744607587,22.5860557303106,6746.0,3216.0,166.0,388.0,0.0,3050.0,10890.0,0,21.3904,2.5,1262,7896
1001401488099960-3003401398100046,113.94865920016564,22.533862145734602,113.83839171961495,22.62986946561644,19969.0,5294.0,568.0,1328.0,1.0,4725.0,19129.0,0,53.1256,2.5,2221,20381
1001401488099960-3003401490099970,113.94865920016564,22.533862145734602,113.95202822858765,22.546335244205434,1573.0,1767.0,675.0,1576.0,0.0,1092.0,825.0,0,10.0,2.0,564,2014
1001401488099960-1001401502099962,113.94865920016564,22.533862145734602,113.96560415804184,22.53643907057972,1839.0,2156.0,605.0,1414.0,1.0,1550.0,2335.0,0,10.0,2.0,497,2431
1001401486099960-3003401658100026,113.9462314708742,22.533816054785625,114.15470074409487,22.613233234329357,27447.0,7371.0,1032.0,2410.0,0.0,6339.0,28809.0,1,72.83463999999998,3.5,3826,29303
1001401488099960-1001401480099974,113.94865920016564,22.533862145734602,113.93859989462776,22.549464332716287,2512.0,2043.0,554.0,1294.0,0.0,1489.0,2663.0,0,11.2288,1.0,687,2865
1001401488099960-7007401408100000,113.94865920016564,22.533862145734602,113.85409573551105,22.58054515451792,13526.0,4647.0,862.0,2012.0,0.0,3785.0,14792.0,0,37.6624,2.5,2155,13502
1001401486099960-3003401416099996,113.9462314708742,22.533816054785625,113.86153424050664,22.57392260621589,11943.0,2458.0,1188.0,2774.0,0.0,1270.0,11389.0,0,33.8632,4.0,2092,12467
1001401488099960-7007401512099968,113.94865920016564,22.533862145734602,113.98116406195395,22.54688509218216,4343.0,2877.0,930.0,2172.0,0.0,1947.0,6180.0,0,15.6232,2.5,1032,6043
1001401486099960-3003401544099976,113.9462314708742,22.533816054785625,114.01743982861521,22.554331402390442,8708.0,3333.0,610.0,1426.0,1.0,2722.0,10357.0,0,26.0992,2.5,1590,11210
1001401488099960-1001401594099960,113.94865920016564,22.533862145734602,114.07733776653723,22.53625267698168,12235.0,4006.0,314.0,734.0,0.0,3692.0,17518.0,0,34.56399999999999,4.0,1471,16366
1001401488099960-15015401576099976,113.94865920016564,22.533862145734602,114.0634336327047,22.561947366768976,13533.0,3500.0,322.0,752.0,0.0,3178.0,14544.0,0,37.6792,2.5,1438,14300
1001401488099960-3003401566100014,113.94865920016564,22.533862145734602,114.04323599011565,22.597678764989947,15256.0,5156.0,976.0,2278.0,0.0,4180.0,21466.0,0,41.8144,2.5,2656,17481
1001401488099960-3003401490099998,113.94865920016564,22.533862145734602,113.9513336087596,22.57790908505709,4695.0,2542.0,807.0,1884.0,0.0,1735.0,5883.0,0,16.468,2.0,1361,7095
